AccX,AccY,AccZ,GyroX,GyroY,GyroZ
37,77,48,1935,-337,-6563
127,-6,-90,2181,-1798,-7126
-116,68,90,1989,-2879,-6107
58,118,70,-1836,-3509,-4269
-73,50,-78,-906,-1630,-1073
-87,-95,116,1161,868,2717
-83,114,-119,-139,3854,5671
-95,-112,20,1151,4061,7292
-1,-42,75,-198,1709,1491
-35,-63,-10,171,-4449,-5415
52,77,65,-2260,-2521,-6788
56,-80,-18,-1726,-1291,-3966
127,-66,-40,-606,1946,1529
49,-39,-31,-731,3935,6278
-46,-58,123,3332,4947,4752
-37,17,122,-131,1340,-2222
58,-97,114,274,325,-5747
-119,-126,49,-1703,-2340,-6800
106,-119,-77,-1063,-4110,-6744
5,-127,127,-386,-4265,-4873
0,-12,-77,2331,-3661,-1632
26,-83,87,1706,-1509,-1117
-63,78,-123,1981,927,-971
75,116,98,2125,2307,149
52,29,-66,617,512,3477
-113,66,95,94,1102,5609
-117,-31,58,41,851,8339
46,-22,83,-4546,680,4369
-123,50,75,-1001,-2995,586
-22,97,24,3071,646,-1290
83,-81,17,251,-934,-430
-104,-100,107,-1007,149,259
-63,-12,-37,-1954,-561,588
-15,-50,-86,-2558,-1026,1305
-68,-67,-33,-1813,-2149,1887
116,-123,-20,-1298,-2163,2314
-82,-54,31,260,-1294,3469
26,74,11,-1241,318,2251
106,-95,17,-519,-119,3666
88,23,9,1038,-2618,4258
-69,-46,-72,1755,-626,3777
21,-75,-4,1836,-1173,3101
-52,-120,-45,2663,-745,1620
87,29,-89,2280,-243,337
27,-42,107,2112,-354,-576
38,91,74,1188,428,-946
83,-15,49,840,847,-944
72,-41,54,182,-25,-889
106,-98,61,-527,-275,-597
104,-106,55,-226,-319,-748
-2,103,67,6713,-1859,-3698
85,-125,94,519,1266,-7675
-23,-17,32,2098,-2591,-7831
-99,-63,-120,716,-3187,-7304
92,46,126,728,-4560,-5637
-89,-50,-58,-1689,-2489,-2622
-87,-95,95,1375,-1326,1554
4,3,74,-7,2513,4178
-69,-56,47,349,4518,6606
14,-22,-61,2411,2691,5937
-6,-75,-73,-2267,-1837,-2697
-83,115,53,40,-3331,-6276
-33,-69,-76,-2791,-2673,-4894
-73,-58,86,443,-1637,-1772
94,97,-91,-588,2836,4205
-114,-29,-77,-528,5841,6200
41,111,-99,2799,3211,2483
-21,18,-8,443,796,-3960
-57,-91,85,-327,293,-5587
-1,94,43,-265,-1784,-5857
44,89,-12,-2902,-2789,-5485
0,35,13,-1254,-2468,-4578
-67,-45,-118,1408,-2822,-3152
46,-112,61,1344,-2697,-1247
-31,-124,14,2571,-435,-312
85,-48,-99,2564,2372,1358
110,64,-2,-724,1975,3938
92,125,-88,-1586,252,5426
-101,126,-57,-520,302,7151
25,110,-14,-5181,-2434,5860
-21,-115,-85,-3875,-1273,908
38,-14,115,4104,-78,-1198
-52,-41,89,861,-149,-841
-111,32,-2,-886,-162,-245
-60,123,-121,-136,68,-272
-81,19,64,44,-1295,230
-83,-105,29,-202,-1484,1383
-73,-65,-20,-718,-660,2010
-79,63,-34,-1194,-572,2372
-66,-94,-55,496,-874,2829
37,-91,-80,2398,513,2695
0,0,-13,1349,1194,2687
79,-35,127,2327,2376,3113
39,122,37,520,-435,3134
-36,33,118,-666,596,2243
-72,-64,-100,638,1094,2482
-119,-62,-51,1528,384,2151
109,-10,-63,174,894,749
72,-67,-116,-116,-23,-4
43,71,107,117,-538,-258
-66,-68,32,5986,293,-3936
-63,11,79,4589,150,-6093
41,-15,13,404,-3387,-7082
-26,86,-77,1918,-3928,-6745
-70,-127,-30,1116,-4189,-4266
21,107,-86,-1842,-4139,-2326
-65,104,20,110,-1870,-332
70,81,14,1644,1775,3663
-92,-19,67,-1031,4431,5680
29,-49,99,3387,3132,5853
-11,5,-17,-755,-1199,-2596
107,82,62,-1467,-4669,-5988
57,-100,-81,-2610,-3315,-4443
-43,35,-95,512,-2080,-1470
39,117,-48,141,2706,4258
74,46,35,-25,4941,6019
87,-95,-91,2847,4039,2994
-118,-94,-89,644,580,-3292
-57,113,63,740,231,-5703
52,84,110,-2578,-2380,-7201
-17,22,112,-3667,-2709,-6668
90,-15,44,-3840,-3499,-5961
94,-16,75,-231,-3436,-3075
-51,93,-11,1964,-1955,439
-113,97,55,1652,414,1272
