AccX,AccY,AccZ,GyroX,GyroY,GyroZ
33,-88,-29,-166,-1812,-6896
-50,83,11,2900,-4796,-7121
29,57,-77,2395,-4785,-5356
-104,29,111,1737,-5141,-4278
74,82,-62,3073,-3384,-309
62,106,36,-1087,33,-97
-124,112,-69,822,2054,848
-113,51,-53,-227,1216,198
-53,-103,-102,-1591,2548,902
84,26,-13,-264,2601,2484
-71,71,31,-1702,4071,3291
-12,-119,117,150,3917,3004
83,-45,-61,-3430,3846,3968
-117,-76,-90,-3157,2074,4257
-61,-127,51,913,891,3828
29,-16,-67,-722,875,3743
37,-122,-51,1577,889,3128
20,-119,-36,1114,501,2918
-48,-80,-69,657,87,1020
-105,53,-70,1578,149,44
83,-43,-37,631,-214,-334
81,119,-4,285,51,-335
88,76,0,578,75,-268
111,41,0,849,21,-361
118,19,0,303,-141,-497
112,-2,11,-370,-184,-350
100,-6,16,-431,-220,-107
116,13,10,-186,93,-75
124,25,-3,-58,112,-87
127,44,-25,-175,69,-101
117,47,-32,-130,-66,-145
120,47,-33,-162,5,-50
116,57,-30,-116,-12,-3
122,82,-34,-378,18,-81
119,85,-33,-271,-80,-56
121,87,-32,56,-231,-206
112,102,-47,-115,-89,-252
115,88,-40,-110,101,-143
121,93,-42,-120,125,-1
121,108,-55,-247,120,0
117,117,-55,-164,31,-44
-123,124,-56,-177,123,-61
124,-125,-58,-156,-24,-84
126,-125,-60,-121,131,-137
-126,123,-61,51,17,-97
-123,-121,-59,-174,14,-156
-123,125,-54,-81,78,-78
-119,-121,-56,-116,56,-41
-126,-112,-63,-127,62,-67
-119,-100,-66,-223,48,-104
51,40,118,712,-2389,-5742
-105,115,-86,1917,-3243,-6940
-5,-3,11,2259,-4775,-5770
-128,-127,-122,1581,-4446,-5482
-42,-112,28,-263,-3622,-2654
113,47,101,2668,-2670,-945
-123,54,-49,-1372,873,736
67,63,-114,1101,1098,514
47,-5,94,-439,1184,450
-31,-119,-8,-532,2947,1175
73,-126,66,-3486,3421,1751
-22,-26,72,148,3719,3663
102,36,94,-3178,4329,4021
-84,-23,-97,-2537,2363,3938
20,113,27,-1405,1790,5618
41,-56,122,-568,652,3065
107,-12,-73,-198,38,4520
40,-74,-29,1426,-80,2615
-17,-85,6,486,-43,2315
-83,-113,-17,1054,84,1217
-123,85,-6,1210,2,183
107,-29,-4,1632,158,-356
77,-101,-18,851,150,-572
80,84,6,109,-188,-405
98,58,12,56,-180,-326
106,31,25,109,-48,-437
109,15,16,85,42,-416
105,14,11,-96,31,-212
111,24,0,-191,-7,-145
111,31,-4,-151,54,-5
116,60,-14,-231,63,-20
114,75,-19,-199,-15,-7
119,89,-20,-139,54,-66
114,93,-24,-101,54,-99
127,95,-37,-176,37,-138
115,104,-30,-369,-87,-7
118,111,-34,-116,85,-168
126,107,-36,-150,21,-145
126,115,-40,-300,-31,-55
125,124,-36,-304,-18,-95
124,-127,-41,-201,38,-111
122,-121,-44,-181,-2,-71
-125,-111,-49,-296,-5,-117
125,-113,-46,-217,-54,-86
-120,-103,-42,-296,4,-68
125,-93,-42,-212,-8,-79
-121,-88,-47,-165,118,-155
-119,-96,-55,-60,-8,-110
-115,-85,-55,-259,-13,-109
-121,-89,-51,-194,-11,-54
90,-50,-3,719,-3421,-6611
22,-111,95,919,-4725,-6478
109,-30,-9,1551,-4444,-4813
-57,29,-58,1670,-4578,-4791
3,-70,123,1815,-3222,-915
3,19,-21,-1209,-181,74
119,-109,29,-147,1602,1175
99,55,-82,12,344,165
-117,-90,-77,-811,1921,390
25,54,115,-774,2687,2459
101,83,-41,-1542,3932,2294
-45,-106,-54,-704,4070,2819
61,-72,65,-2963,3163,3738
70,112,74,-633,2862,4708
-101,37,81,675,1498,3660
24,76,102,800,1936,4660
3,-62,-91,-1896,251,2558
-30,94,-85,-272,155,2619
-59,-127,4,102,-288,1794
-116,78,-36,513,560,670
94,36,-38,927,62,-11
79,-55,-32,1138,19,-263
66,-100,-27,31,-46,-380
64,102,-15,55,-248,-363
73,92,8,-218,-262,-269
81,57,17,-136,-48,-300
80,60,22,-203,-73,-294
86,58,19,-164,77,-73
90,87,-2,-175,94,-208
94,85,-11,-30,98,-134
91,91,-23,-56,130,-75
97,102,-39,-92,121,-28
99,110,-37,-159,44,-44
102,113,-41,-43,63,-36
105,111,-42,52,73,-5
99,118,-39,-96,13,6
112,-128,-36,-170,41,15
121,-121,-29,-110,-21,-52
104,-118,-31,-165,21,-65
113,-115,-37,-184,164,-81
121,-119,-44,-1,42,-36
121,-111,-47,-80,63,-90
125,-117,-50,-53,88,-100
123,-118,-49,-136,24,-15
127,-109,-49,-169,54,-34
-126,-105,-48,-71,80,-10
-128,-99,-51,-140,64,10
-124,-89,-55,-103,74,-91
-117,-90,-52,-169,23,-37
-117,-80,-52,-207,18,-71
17,111,-17,1516,-3712,-5529
110,17,22,-1080,-4661,-6792
-13,-81,23,3150,-5446,-5196
-21,-100,122,2401,-4872,-3251
122,43,-82,-57,-2943,-1421
-73,12,-55,-137,543,-85
102,-25,-34,-1045,1112,688
59,-40,-106,735,904,464
91,-21,51,-1406,1317,408
18,19,123,129,2919,1955
127,83,-67,-1975,4308,2223
-38,25,-108,-5002,3935,4016
0,35,99,-2039,2300,5073
-77,8,106,289,1469,4253
41,-97,-121,-1255,1753,4148
58,38,-36,1729,1053,4546
-90,-98,-26,345,779,4029
-80,-127,-36,-287,928,3216
50,-69,-70,262,-480,1628
-81,-100,-48,1141,-1256,-484
125,-36,-15,1871,-242,-869
92,101,-18,1916,523,-838
100,47,-24,1804,142,-635
108,71,-2,-360,-266,-347
98,1,19,-385,-556,-233
102,-1,34,-130,-325,-140
109,0,39,-206,-58,-306
109,22,26,-377,9,-111
104,21,22,-177,14,-19
109,45,0,-223,107,-19
104,54,-10,-24,127,94
112,88,-32,-359,99,0
110,91,-34,-202,-77,-90
118,98,-33,-130,27,-175
117,89,-37,-25,23,-158
119,97,-46,-245,-78,-181
116,95,-39,-264,-109,-102
114,99,-41,-350,-84,-113
111,122,-49,-639,-188,-52
111,-117,-54,-772,-130,-64
103,-94,-69,-846,-248,-1
110,-77,-61,-484,-203,-89
120,-70,-51,-244,3,-262
-127,-84,-57,-45,28,-206
111,-91,-64,134,-54,-93
101,-84,-65,-70,110,-110
96,-72,-67,-40,66,-85
-113,-78,-71,321,404,-110
-94,-70,-76,46,155,39
-111,-67,-77,-64,-1,98
56,-72,42,1345,-2734,-6698
71,-20,96,1227,-4224,-6660
-98,-12,25,2482,-5027,-5419
-9,-93,24,4364,-6127,-3575
-12,-26,-66,385,-2193,-1092
-69,99,-98,-2216,1260,125
76,-109,-123,196,2541,1045
79,-103,74,-395,1178,265
-81,-62,91,-1146,2942,740
32,-88,-6,-2088,2630,1887
118,-117,69,-239,3151,2809
-78,-90,-22,97,4556,3354
9,-101,51,-1808,3495,3182
-111,-50,-23,-160,2919,3221
6,110,15,-1790,2362,3741
-31,33,87,1638,268,2224
-17,31,-81,-1325,1127,2820
-56,-82,-79,669,1136,2639
-2,-57,-75,963,910,2915
12,45,-93,167,171,2120
-86,65,-75,-132,-939,166
92,-78,0,669,-1018,-557
65,82,5,1023,102,-260
54,92,-3,-38,197,-228
70,79,-11,-37,-129,-96
88,96,0,-316,-349,-354
90,59,9,5,-118,-666
92,51,3,-293,42,-579
98,40,-1,-264,-49,-606
99,27,-10,-275,-33,-399
93,39,-21,-452,-56,-363
90,37,-20,-342,29,-134
95,31,-33,55,146,-38
88,55,-49,-78,79,63
96,61,-51,-129,93,218
102,98,-40,-239,-27,269
107,108,-49,-26,170,244
109,-117,-58,-340,37,44
114,-125,-50,-157,-8,152
113,-106,-57,-228,-4,-49
103,-104,-55,-232,-55,-155
107,-116,-55,15,77,-210
109,-126,-59,23,55,-202
111,124,-60,-12,11,-146
120,119,-60,19,48,-91
122,-120,-59,-330,-52,-54
120,-119,-55,-237,29,-32
117,-101,-58,-342,-31,-40
112,-93,-58,-290,-3,-92
124,-99,-56,34,131,-98
-126,-57,-85,-5325,558,-2239
-111,63,-24,1517,859,-5985
16,-90,38,1660,-3126,-7154
75,-34,-8,1621,-3146,-8570
24,30,41,2742,-5077,-6072
-61,41,25,4272,-6430,-4270
11,7,-117,-1399,-3278,-3609
-61,12,5,-359,1551,60
81,-65,69,-941,1894,1487
89,-69,-7,472,1105,774
-9,65,-110,-247,3788,937
49,-118,-2,-2775,3139,2511
-86,-92,-14,-925,3049,4047
7,-116,86,-2824,3317,4670
72,-18,23,841,1909,5017
-37,-6,59,-3313,2160,4628
-20,-19,-101,-159,-296,3136
50,5,-22,-193,96,3775
8,-62,-17,1608,201,2517
-51,-70,-37,1395,301,1726
-95,-104,-68,1610,53,732
103,48,-68,1276,-21,-220
96,-48,-40,1144,228,-260
105,-105,-50,562,-67,-460
82,127,-24,-72,-489,-349
96,107,0,-464,-250,-522
89,37,-3,377,-73,-331
93,57,2,29,-158,-247
110,46,-11,22,162,-178
109,60,-18,-214,-2,-80
115,70,-31,-191,95,-56
100,93,-41,-232,-60,-107
96,89,-45,-82,139,35
110,105,-55,-62,107,56
117,116,-64,-26,-30,-24
113,-127,-63,-249,-30,-143
113,111,-56,-24,-4,-85
110,120,-54,-217,-25,0
111,-128,-55,-244,-3,-5
115,-115,-55,-144,38,-85
115,-116,-61,-35,59,-112
115,-113,-65,-70,70,-106
123,-118,-68,-25,63,-122
124,-117,-71,-149,0,-134
121,-128,-66,-20,54,-47
127,-113,-70,-224,33,-6
125,-103,-70,-173,-28,-33
126,-100,-64,-157,66,5
-126,-82,-71,-166,39,-93
-128,-89,-66,-101,76,-54
115,-14,73,-1161,-4847,-4407
-105,-101,-96,-1010,-3206,-7314
-90,18,95,3393,-6724,-5851
-31,-102,-111,-218,-6176,-4392
-101,-103,38,1788,-5192,-1989
127,-60,-69,-740,-205,-429
-113,79,43,-738,1797,551
88,-4,60,-475,1565,496
-123,-35,50,-476,2159,208
2,-114,28,-1414,3405,1513
17,81,-92,-1479,2604,2485
121,2,-35,-2705,3121,3712
-95,-20,-109,77,3243,4918
27,36,49,-1180,2858,4807
-71,-52,65,-216,1239,3936
62,-53,-74,-854,1042,4299
105,-114,-67,1625,766,3630
126,-63,-49,1053,438,3030
-42,-6,-110,194,-265,757
118,81,-86,1218,-369,-424
69,-74,-24,1405,112,-365
76,-113,-60,1294,638,-22
86,120,-75,977,78,-155
108,106,-47,-98,-539,-413
103,61,-24,-191,-504,-579
69,44,16,-354,-568,-414
69,46,8,-578,-102,-395
94,47,5,-397,-13,-326
84,49,-18,-141,23,-15
83,76,-31,-145,23,-131
88,75,-39,12,125,-46
97,87,-50,-77,110,49
96,103,-57,-223,-4,128
95,-123,-60,-467,12,94
90,-107,-59,-361,6,-31
95,-100,-60,-96,31,-140
103,-105,-62,72,176,-125
100,-112,-77,141,91,-264
112,-125,-83,-18,20,-214
92,122,-78,-201,-98,-97
103,117,-75,-112,-6,-130
109,125,-65,-296,-75,3
99,-120,-55,-115,-60,11
97,-90,-54,-373,142,15
110,-92,-65,103,137,-102
117,-104,-84,224,174,-162
110,-96,-88,-137,68,-82
115,-120,-92,393,47,-122
115,-114,-77,-29,133,-10
-128,-103,-86,-156,149,46
22,-119,-74,-3795,-2041,-4650
106,66,4,-52,-2623,-4664
-59,46,58,715,-3968,-6464
-42,32,-72,674,-4689,-6046
-4,-68,84,2311,-6094,-5693
36,42,-111,3031,-5978,-2712
36,-93,9,-992,-2092,-1387
-57,-96,108,51,1425,687
85,83,58,-514,1544,655
-124,-4,-125,-894,2289,518
-23,122,120,-1380,3820,636
23,29,16,-673,2504,2881
120,24,-17,-2659,3301,3629
-73,99,-111,-1815,3308,4474
-91,-73,97,1606,2004,3694
-113,110,63,-1632,3475,3627
-61,-65,80,-1369,1449,3892
-62,-61,-98,-488,400,2526
20,127,-17,607,686,3587
-24,-31,-47,546,269,1978
-92,-65,-70,1015,-307,932
94,95,-43,1016,-117,-427
75,3,-44,920,327,-655
73,-90,-59,1157,433,-530
67,-127,-38,402,-487,31
70,-112,-14,-671,-490,-137
84,102,-15,-144,-73,-591
94,69,-9,353,-191,-491
83,42,3,162,-34,57
78,108,-9,-658,-64,41
86,97,-11,-88,12,-81
105,117,-30,-219,108,-51
87,-122,-34,-342,-83,110
90,-109,-45,-208,79,-149
88,-125,-47,20,82,-95
91,-117,-60,-57,67,-24
103,-112,-66,-28,39,-92
95,-124,-63,83,-1,-13
97,-102,-67,-343,-64,-77
97,-106,-59,-210,-41,-24
100,-91,-59,-204,16,-91
100,-91,-60,-80,-10,-147
107,-93,-64,-120,39,-147
97,-90,-64,-140,-6,-112
108,-93,-68,-140,51,-137
107,-88,-67,-237,-47,-64
111,-88,-66,-81,89,-143
111,-89,-65,-128,56,-69
114,-88,-67,-146,64,3
110,-69,-68,-221,99,6
9,42,-22,-5739,1007,-2823
87,-37,-122,2303,-1931,-4594
-84,66,44,41,-2335,-6066
73,83,48,-49,-4042,-7118
50,-46,-70,1824,-4455,-6318
117,79,89,2354,-5344,-4780
82,-59,-5,3238,-5850,-2053
-114,-37,-28,-1444,152,-193
-120,104,32,-17,2071,37
40,-39,29,-654,1282,811
81,-20,-54,-1095,1481,36
-27,20,-99,-464,4127,834
33,62,1,-3182,3172,2517
-128,107,-4,-1689,2286,3293
2,97,-125,-2955,3311,4303
3,-91,120,-440,1443,4290
-123,-98,107,-2539,1355,4085
-72,32,-60,379,1371,3717
26,-57,-51,679,573,3573
49,-122,-31,801,691,3212
-24,3,-39,-620,38,1687
-113,-121,-22,1525,-210,954
106,72,-41,1455,415,117
81,-56,-55,1494,429,-352
80,-118,-56,1215,106,-190
79,-125,-44,226,-192,-220
89,94,-22,-302,-312,-335
88,59,7,-96,-345,-340
93,57,7,-241,-110,-310
94,56,11,-392,-124,-223
94,49,4,-191,-88,-111
91,81,-7,-332,-27,-91
95,87,-17,-199,40,-136
97,86,-21,-118,75,19
92,101,-32,-148,-4,-21
95,121,-40,-308,49,14
101,124,-37,-130,33,-66
99,-122,-40,-170,31,-44
97,-117,-42,-178,59,-82
104,-115,-49,-105,47,-106
109,-112,-51,-169,36,-108
108,-112,-54,-165,14,-78
106,-106,-53,-246,4,-130
112,-110,-52,-90,63,-93
115,-107,-53,-138,50,-94
113,-109,-55,-98,42,-63
120,-100,-60,-169,59,-57
119,-97,-59,-103,39,2
120,-89,-60,-99,48,-25
120,-87,-60,-105,24,-6
4,-59,126,-5806,1826,-1368
51,-15,-98,-435,-240,-3477
-128,-2,-86,982,-1127,-4463
-56,-64,90,-363,-2315,-6053
93,-84,74,-3530,-1793,-7565
-102,71,-19,2339,-2894,-5531
-125,-97,1,2386,-4260,-4610
56,15,-101,2098,-4498,-3619
81,-4,-111,3466,-3017,-1661
-9,92,-51,-2119,1985,213
